student,cluster,top_gap_kc,gap_伸展,gap_評鑑,gap_重整
第一級|2020-DSE-CHI-Paper1,0,評鑑,0.0,0.0349,0.0
第五級|2020-DSE-CHI-Paper1,0,評鑑,0.0,0.0349,0.0009
第四級|2020-DSE-CHI-Paper1,0,評鑑,0.0,0.0349,0.0002
第三級|2020-DSE-CHI-Paper1,0,評鑑,0.0,0.0342,0.0
第一級|2024-DSE-CHI-Paper1,0,評鑑,0.0,0.0355,0.0009
第二級|2024-DSE-CHI-Paper1,0,評鑑,0.0,0.0342,0.0002
第三級|2024-DSE-CHI-Paper1,1,重整,0.0,0.0355,0.1487
第二級|2020-DSE-CHI-Paper1,2,評鑑,0.0,0.0349,0.0331
