n_turns,BKT_acc,BKT_auc,Hyb_acc,Hyb_auc
5,n/a,n/a,n/a,n/a
10,0.700,0.484,n/a,n/a
15,0.652,0.422,n/a,n/a
20,0.739,0.446,n/a,n/a
30,0.739,0.456,n/a,n/a
40,0.739,0.436,0.957,0.847
50,0.783,0.456,0.957,0.875
60,0.783,0.446,0.957,0.875
70,0.783,0.436,0.957,0.868
